Car Make;Car Model;Year;Engine Size (L);Horsepower;Torque (lb-ft);0-60 MPH Time (seconds);Price (in USD)
Aston Martin ;DBS Superleggera             ;2021;5.2                 ;715    ;663    ;3.2  ;304,995.00
BMW          ;M2 Competition               ;2022;3                   ;405    ;406    ;4    ;59,895.00
McLaren      ;GT                           ;2021;4                   ;612    ;465    ;3.1  ;211,000.00
Ferrari      ;SF90 Stradale                ;2021;4                   ;986    ;590    ;2.5  ;625,000.00
Pininfarina  ;Battista                     ;2022;Electric            ;1874   ;1696   ;1.9  ;2,500,000.00
Dodge        ;Challenger SRT Hellcat       ;2022;6.2                 ;717    ;656    ;3.5  ;70,000.00
Maserati     ;GranTurismo                  ;2021;4.7                 ;454    ;384    ;4.8  ;134,300.00
BMW          ;M5                           ;2022;4.4                 ;600    ;553    ;3.2  ;103,500.00
McLaren      ;Artura                       ;2021;3                   ;671    ;531    ;3    ;225,000.00
Tesla        ;Model S                      ;2022;Electric            ;1020   ;1050   ;1.98 ;119,000.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;3.1  ;202,500.00
Audi         ;RS 7                         ;2022;4                   ;591    ;590    ;3.5  ;114,000.00
Ford         ;GT                           ;2022;3.5                 ;660    ;550    ;3    ;500,000.00
McLaren      ;765LT                        ;2021;4                   ;755    ;590    ;2.8  ;358,000.00
Tesla        ;Model S Plaid                ;2021;Electric            ;1020   ;1050   ;1.9  ;131,100.00
Acura        ;NSX                          ;2021;3.5                 ;573    ;476    ;2.7  ;159,495.00
Koenigsegg   ;Jesko                        ;2022;5                   ;1280   ;1015   ;2.5  ;3,000,000.00
Mercedes-AMG ;C 63 S Coupe                 ;2022;4                   ;503    ;516    ;3.7  ;80,900.00
Chevrolet    ;Camaro SS                    ;2021;6.2                 ;455    ;455    ;4    ;40,000.00
Bentley      ;Continental GT               ;2022;4                   ;542    ;568    ;3.9  ;202,500.00
Koenigsegg   ;Jesko                        ;2022;5                   ;1280   ;1106   ;2.5  ;2,800,000.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;3.1  ;196,350.00
Rimac        ;Nevera                       ;2022;Electric            ;1914   ;1696   ;1.85 ;2,400,000.00
Aston Martin ;Vantage                      ;2021;4                   ;503    ;505    ;3.5  ;150,000.00
Lexus        ;LC 500                       ;2021;5                   ;471    ;398    ;4.4  ;92,950.00
Tesla        ;Roadster                     ;2023;Electric            ;1,000+ ;737    ;< 1.9;200,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;64,195.00
Lamborghini  ;Aventador SVJ                ;2021;6.5                 ;770    ;531    ;2.8  ;517,700.00
Bugatti      ;Chiron                       ;2022;8                   ;1500   ;1180   ;2.4  ;3,000,000.00
Lexus        ;LC 500                       ;2021;5                   ;471    ;398    ;4.4  ;92,950.00
Mercedes-AMG ;C 63 S                       ;2022;4                   ;503    ;516    ;3.7  ;81,550.00
Rolls-Royce  ;Wraith                       ;2021;6.6                 ;624    ;642    ;4.4  ;330,000.00
Aston Martin ;Vantage                      ;2021;4                   ;503    ;505    ;3.5  ;146,000.00
Lexus        ;LC 500                       ;2022;5                   ;471    ;398    ;4.4  ;92,000.00
Porsche      ;Cayman GT4                   ;2021;4                   ;414    ;309    ;4.2  ;102,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;64,995.00
Lamborghini  ;Aventador S                  ;2021;6.5                 ;730    ;509    ;2.9  ;417,650.00
BMW          ;M4 Competition               ;2021;3                   ;503    ;479    ;3.9  ;75,695.00
Ford         ;GT                           ;2021;3.5                 ;660    ;550    ;2.8  ;500,000.00
Lotus        ;Evija                        ;2022;Electric            ;1973   ;1254   ;2.5  ;2,750,000.00
Lamborghini  ;Aventador                    ;2021;6.5                 ;770    ;531    ;2.8  ;417,650.00
BMW          ;M4                           ;2022;3                   ;473    ;406    ;4.1  ;72,800.00
Nissan       ;370Z Nismo                   ;2021;3.7                 ;350    ;276    ;5.2  ;45,000.00
Pagani       ;Huayra                       ;2021;6                   ;764    ;738    ;2.6  ;2,600,000.00
Porsche      ;Cayman                       ;2022;2                   ;300    ;280    ;4.9  ;59,900.00
McLaren      ;GT                           ;2021;4                   ;620    ;465    ;3.1  ;210,000.00
Ford         ;Mustang GT                   ;2022;5                   ;460    ;420    ;4.3  ;36,120.00
Porsche      ;718 Boxster                  ;2022;2                   ;300    ;280    ;4.9  ;62,000.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;2.9  ;208,800.00
Ferrari      ;SF90 Stradale                ;2022;4                   ;986    ;590    ;2.5  ;625,000.00
Mercedes-Benz;SLS AMG                      ;2015;6.2                 ;622    ;468    ;3.6  ;229,000.00
Dodge        ;Challenger SRT Hellcat       ;2021;6.2                 ;717    ;656    ;3.6  ;71,000.00
Lotus        ;Evora GT                     ;2020;3.5                 ;416    ;317    ;3.8  ;96,950.00
Aston Martin ;Vantage                      ;2021;4                   ;503    ;505    ;3.5  ;146,000.00
Maserati     ;GranTurismo                  ;2021;4.7                 ;454    ;384    ;4.7  ;134,300.00
Chevrolet    ;Camaro ZL1                   ;2022;6.2                 ;650    ;650    ;3.5  ;64,000.00
McLaren      ;570S                         ;2022;3.8                 ;562    ;443    ;3.1  ;198,950.00
Lamborghini  ;Aventador S                  ;2021;6.5                 ;729    ;507    ;2.9  ;417,826.00
Acura        ;NSX                          ;2021;3.5                 ;573    ;476    ;2.7  ;159,495.00
Dodge        ;Challenger SRT Hellcat       ;2022;6.2                 ;717    ;656    ;3.5  ;71,490.00
Lotus        ;Evora GT                     ;2021;3.5                 ;416    ;317    ;3.8  ;104,400.00
Porsche      ;Cayman GT4                   ;2022;4                   ;414    ;309    ;4.2  ;102,000.00
Toyota       ;GR Supra                     ;2022;3                   ;382    ;368    ;3.9  ;43,090.00
Acura        ;NSX                          ;2021;3.5                 ;573    ;476    ;2.9  ;157,500.00
Dodge        ;Challenger SRT Hellcat       ;2021;6.2                 ;717    ;656    ;3.5  ;65,000.00
Maserati     ;GranTurismo                  ;2021;4.7                 ;454    ;384    ;4.8  ;134,300.00
McLaren      ;Artura                       ;2022;3                   ;671    ;531    ;3    ;225,000.00
Aston Martin ;DBS Superleggera             ;2021;5.2                 ;715    ;664    ;3.4  ;307,820.00
Alfa Romeo   ;4C Spider                    ;2020;1.8                 ;237    ;258    ;4.1  ;68,745.00
Tesla        ;Model S Plaid                ;2022;Electric            ;1020   ;1050   ;1.98 ;139,990.00
Mercedes-Benz;SLS AMG Black Series         ;2014;6.2                 ;622    ;468    ;3.5  ;275,000.00
Ford         ;GT                           ;2022;3.5                 ;660    ;550    ;3    ;500,000.00
Aston Martin ;Vantage                      ;2021;4                   ;503    ;505    ;3.6  ;146,000.00
Ferrari      ;SF90 Stradale                ;2021;4                   ;986    ;590    ;2.5  ;625,000.00
Mercedes-Benz;AMG C 63 S                   ;2021;4                   ;503    ;516    ;3.7  ;77,400.00
Nissan       ;370Z Nismo                   ;2020;3.7                 ;350    ;276    ;5    ;46,815.00
Lamborghini  ;Urus                         ;2022;4                   ;641    ;626    ;3.2  ;218,009.00
Aston Martin ;DBS Superleggera             ;2021;5.2                 ;715    ;664    ;3.4  ;304,995.00
Lexus        ;LC                           ;2021;5                   ;471    ;398    ;4.4  ;92,950.00
BMW          ;M5                           ;2021;4.4                 ;600    ;553    ;3.2  ;103,500.00
Jaguar       ;F-Type R                     ;2021;5                   ;575    ;516    ;3.5  ;103,200.00
Nissan       ;370Z Nismo                   ;2020;3.7                 ;350    ;276    ;4.7  ;47,190.00
Ferrari      ;Roma                         ;2021;3.9                 ;612    ;561    ;3.3  ;222,630.00
Mercedes-Benz;SL                           ;2022;3                   ;429    ;384    ;4.9  ;96,250.00
Aston Martin ;DBS Superleggera             ;2021;5.2                 ;715    ;664    ;3.4  ;307,820.00
Lamborghini  ;Urus                         ;2021;4                   ;641    ;627    ;3.6  ;218,009.00
Porsche      ;Taycan 4S                    ;2021;Electric (93 kWh)   ;429    ;472    ;3.8  ;103,800.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;3.1  ;192,500.00
Ford         ;GT                           ;2021;3.5                 ;660    ;550    ;3    ;500,000.00
Bentley      ;Continental GT               ;2021;4                   ;626    ;664    ;3.3  ;202,500.00
Bugatti      ;Chiron Pur Sport             ;2021;8                   ;1500   ;1180   ;2.3  ;3,599,000.00
Aston Martin ;DB11                         ;2021;4                   ;503    ;498    ;3.7  ;205,600.00
Chevrolet    ;Camaro ZL1                   ;2022;6.2                 ;650    ;650    ;3.5  ;67,000.00
McLaren      ;600LT Spider                 ;2021;3.8                 ;592    ;457    ;2.8  ;256,500.00
Rimac        ;Nevera                       ;2021;Electric            ;1914   ;1696   ;1.9  ;2,400,000.00
Porsche      ;718 Boxster                  ;2021;2                   ;300    ;280    ;4.9  ;62,000.00
Audi         ;RS 7                         ;2022;4                   ;591    ;590    ;3.5  ;114,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;64,695.00
Aston Martin ;DBS Superleggera             ;2021;5.2                 ;715    ;663    ;3.2  ;305,000.00
BMW          ;M5                           ;2022;4.4                 ;600    ;553    ;3.2  ;103,500.00
Porsche      ;Cayman                       ;2022;2                   ;300    ;280    ;4.9  ;59,900.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;2.7  ;204,995.00
Ford         ;GT                           ;2022;3.5                 ;660    ;550    ;2.8  ;500,000.00
Ferrari      ;SF90 Stradale                ;2021;4                   ;986    ;590    ;2.5  ;625,000.00
Mercedes-Benz;GT 63                        ;2021;4                   ;577    ;590    ;3.3  ;161,200.00
Koenigsegg   ;Jesko                        ;2021;5                   ;1280   ;1106   ;2.5  ;2,800,000.00
Porsche      ;918 Spyder                   ;2015;4.6                 ;887    ;944    ;2.2  ;1,800,000.00
Bentley      ;Continental GT Speed         ;2022;6                   ;650    ;664    ;3.5  ;300,000.00
Lexus        ;LC 500                       ;2022;5                   ;471    ;398    ;4.4  ;92,000.00
Bentley      ;Continental GT               ;2022;4                   ;542    ;568    ;3.9  ;229,000.00
Porsche      ;Boxster                      ;2022;2                   ;300    ;280    ;4.9  ;63,000.00
Ford         ;GT                           ;2022;3.5                 ;660    ;550    ;2.9  ;500,000.00
Mercedes-Benz;AMG C 63                     ;2021;4                   ;469    ;479    ;3.8  ;69,900.00
Chevrolet    ;Corvette Stingray            ;2021;6.2                 ;495    ;470    ;2.9  ;58,900.00
Audi         ;RS7                          ;2022;4                   ;591    ;590    ;3.5  ;115,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;63,000.00
Lamborghini  ;Urus                         ;2021;4                   ;641    ;627    ;3.2  ;218,000.00
BMW          ;i8                           ;2022;Hybrid              ;369    ;184    ;4.2  ;148,500.00
Audi         ;TT RS                        ;2022;2.5                 ;394    ;354    ;3.6  ;67,800.00
Chevrolet    ;Camaro SS                    ;2022;6.2                 ;455    ;455    ;4    ;43,995.00
McLaren      ;765LT                        ;2021;4                   ;755    ;590    ;2.8  ;358,000.00
Audi         ;RS7                          ;2022;4                   ;591    ;590    ;3.5  ;115,000.00
Porsche      ;Taycan                       ;2022;N/A                 ;469    ;479    ;3.8  ;79,900.00
McLaren      ;600LT Spider                 ;2021;3.8                 ;592    ;457    ;2.8  ;256,500.00
Ford         ;GT                           ;2022;3.5                 ;660    ;550    ;3    ;500,000.00
Ferrari      ;Portofino M                  ;2021;3.9                 ;612    ;561    ;3.4  ;235,000.00
Mercedes-Benz;SLS AMG Black Series         ;2021;6.2                 ;622    ;468    ;3.5  ;335,000.00
Ferrari      ;SF90 Stradale                ;2022;4                   ;986    ;590    ;2.5  ;625,000.00
Mercedes-Benz;SLS AMG                      ;2015;6.2                 ;622    ;468    ;3.6  ;200,000.00
Aston Martin ;Vantage                      ;2021;4                   ;503    ;505    ;3.6  ;142,086.00
Jaguar       ;F-Type                       ;2022;2                   ;296    ;295    ;5.4  ;63,700.00
Lotus        ;Evora GT                     ;2021;3.5                 ;416    ;317    ;3.8  ;98,395.00
Audi         ;RS7                          ;2022;4                   ;591    ;590    ;3.5  ;117,000.00
Nissan       ;370Z Nismo                   ;2021;3.7                 ;350    ;276    ;4.7  ;46,000.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;3.1  ;193,000.00
Mercedes-AMG ;GT 63 S                      ;2021;4                   ;630    ;664    ;3.1  ;162,000.00
Lamborghini  ;Aventador S                  ;2021;6.5                 ;730    ;509    ;2.9  ;417,826.00
BMW          ;M2 Competition               ;2022;3                   ;405    ;406    ;4.2  ;58,900.00
Dodge        ;Challenger R/T               ;2021;5.7                 ;372    ;400    ;5.1  ;35,000.00
Jaguar       ;F-Type                       ;2022;2                   ;296    ;295    ;5.4  ;62,500.00
Rimac        ;Nevera                       ;2021;Electric            ;1914   ;1696   ;1.85 ;2,400,000.00
Alfa Romeo   ;Giulia Quadrifoglio          ;2022;2.9                 ;505    ;443    ;3.8  ;83,250.00
BMW          ;M4 Competition               ;2022;3                   ;503    ;479    ;3.8  ;74,700.00
Porsche      ;Panamera Turbo S             ;2022;4                   ;630    ;604    ;2.9  ;181,100.00
Mercedes-Benz;AMG C43 Coupe                ;2021;3                   ;385    ;384    ;4.5  ;59,900.00
Lamborghini  ;Aventador                    ;2021;6.5                 ;730    ;509    ;2.9  ;517,000.00
BMW          ;M2                           ;2022;3                   ;405    ;406    ;4.2  ;58,900.00
Nissan       ;370Z Nismo                   ;2021;3.7                 ;350    ;276    ;4.8  ;46,610.00
Audi         ;RS6                          ;2022;4                   ;591    ;590    ;3.5  ;120,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;63,995.00
Bugatti      ;Chiron                       ;2022;8                   ;1479   ;1180   ;2.4  ;2,900,000.00
Mercedes-Benz;AMG GT R                     ;2021;4                   ;577    ;516    ;3.5  ;183,000.00
Chevrolet    ;Camaro ZL1                   ;2021;6.2                 ;650    ;650    ;3.5  ;63,000.00
Lexus        ;LC 500                       ;2021;5                   ;471    ;398    ;4.4  ;92,000.00
Rolls-Royce  ;Ghost                        ;2021;6.8                 ;563    ;627    ;4.6  ;332,500.00
Acura        ;NSX                          ;2022;3.5                 ;573    ;476    ;2.7  ;157,500.00
Jaguar       ;F-Type                       ;2021;3                   ;380    ;339    ;4.9  ;62,750.00
Maserati     ;GranTurismo                  ;2021;4.7                 ;454    ;384    ;4.7  ;150,980.00
Audi         ;RS 7                         ;2021;4                   ;591    ;590    ;3.4  ;114,000.00
Aston Martin ;Vantage                      ;2021;4                   ;503    ;505    ;3.5  ;147,000.00
Dodge        ;Challenger SRT Hellcat       ;2021;6.2                 ;717    ;656    ;3.5  ;60,695.00
Lexus        ;LC 500                       ;2022;5                   ;471    ;398    ;4.4  ;92,950.00
Mercedes-Benz;AMG C 63                     ;2021;4                   ;469    ;479    ;3.8  ;67,600.00
Tesla        ;Roadster                     ;2022;N/A                 ;10,000+;N/A    ;1.9  ;200,000.00
Audi         ;RS5 Coupe                    ;2022;2.9                 ;444    ;443    ;3.5  ;76,350.00
Chevrolet    ;Camaro                       ;2021;6.2                 ;455    ;455    ;4    ;25,000.00
Aston Martin ;DB11                         ;2022;4                   ;630    ;516    ;3.7  ;201,495.00
Lexus        ;LC 500                       ;2022;5                   ;471    ;398    ;4.4  ;92,950.00
Aston Martin ;Vantage                      ;2022;4                   ;503    ;505    ;3.5  ;149,995.00
Ford         ;Mustang GT                   ;2022;5                   ;460    ;420    ;4    ;38,500.00
Mercedes-Benz;AMG C63                      ;2022;4                   ;469    ;479    ;3.8  ;71,450.00
BMW          ;M4                           ;2021;3                   ;473    ;406    ;3.8  ;71,800.00
Mercedes-Benz;AMG GT 4-Door Coupe          ;2021;4                   ;630    ;664    ;3.1  ;171,200.00
McLaren      ;570S                         ;2021;3.8                 ;562    ;443    ;3.1  ;195,000.00
BMW          ;M4                           ;2022;3                   ;473    ;406    ;4.1  ;72,800.00
Alfa Romeo   ;Giulia Quadrifoglio          ;2021;2.9                 ;505    ;443    ;3.8  ;78,450.00
McLaren      ;Artura                       ;2022;3                   ;671    ;531    ;3    ;225,000.00
Lamborghini  ;Huracan                      ;2021;5.2                 ;630    ;443    ;2.8  ;274,390.00
BMW          ;M8                           ;2022;4.4                 ;617    ;553    ;3.1  ;130,000.00
Nissan       ;GT-R Nismo                   ;2021;3.8                 ;600    ;481    ;2.5  ;212,000.00
Koenigsegg   ;Jesko                        ;2022;5                   ;1280   ;1015   ;2.5  ;3,000,000.00
Pininfarina  ;Battista                     ;2021;Electric            ;1872   ;1696   ;1.9  ;2,500,000.00
Ferrari      ;SF90 Stradale                ;2021;4                   ;986    ;590    ;2.5  ;625,000.00
Mercedes-Benz;SLS AMG                      ;2021;6.3                 ;622    ;468    ;3.6  ;254,500.00
Aston Martin ;Vantage                      ;2021;4                   ;503    ;505    ;3.6  ;146,000.00
McLaren      ;Senna                        ;2021;4                   ;789    ;590    ;2.7  ;1,000,000.00
